bill_filename,vendor,invoice_number,date,amount,currency,gst_details
Bill_1.jpg,SRINIVASA BOOK STORE,4188,14-08-2022,19000,INR,null
Bill_2.jpg,SAMSUDDIN SIDDIQUI,287,28-10-2024,7226,INR,null
Bill_3.jpg,VISHAL PUNJABI VAISHNO BHOJANALAYA,1687,29-08-2007,146,INR,null
Bill_4.jpg,BHARAT ASSOCIATES,004,15-11-2024,32345,INR,GSTIN:09GBVPS8212J1ZP
Bill_5.jpg,Vanakkam Thala Indian Restaurant,01298,,16.6,INR,null
Bill_6.jpeg,M.P. SHIJO NEWS PAPER AGENT,null,Mar-25,1200,INR,null
Bill_7.jpeg,DHANWANTHARI VAIDYASALA,25147,18-06-2025,1397,INR,GSTIN:32AADFD6183E1ZR
Bill_8.jpeg,Minnal CYCLES & KIDS WHEELS,1268,04-03-2026,6700,INR,GSTIN:32AKWPN2281N1ZI
Bill_9.jpeg,DHANWANTHARI VAIDYASALA,21101,12-01-2026,1305,INR,GSTIN:32AADFD6183E1ZR
Bill_10.jpeg,KCM Appliances Pvt. Ltd. (Techzone),PVR 026,27-05-2026,360,INR,GSTIN:32AAECK1982G1ZO
