bill_filename,model,field,predicted,ground_truth,correct
Bill_1.jpg,gemini,vendor,SRINIVASA BOOK STORE,SRINIVASA BOOK STORE,True
Bill_1.jpg,gemini,invoice_number,4188,4188,True
Bill_1.jpg,gemini,date,11-08-2022,14-08-2022,False
Bill_1.jpg,gemini,amount,19000,19000,True
Bill_1.jpg,gemini,currency,INR,INR,True
Bill_1.jpg,gemini,gst_details,,,True
Bill_1.jpg,groq_qwen,vendor,SRINIVASA BOOK STORE,SRINIVASA BOOK STORE,True
Bill_1.jpg,groq_qwen,invoice_number,4188,4188,True
Bill_1.jpg,groq_qwen,date,14-08-2022,14-08-2022,True
Bill_1.jpg,groq_qwen,amount,19000,19000,True
Bill_1.jpg,groq_qwen,currency,INR,INR,True
Bill_1.jpg,groq_qwen,gst_details,,,True
Bill_1.jpg,gpt,vendor,SRINIVASA BOOK STORE,SRINIVASA BOOK STORE,True
Bill_1.jpg,gpt,invoice_number,4188,4188,True
Bill_1.jpg,gpt,date,14-08-2022,14-08-2022,True
Bill_1.jpg,gpt,amount,19600,19000,False
Bill_1.jpg,gpt,currency,INR,INR,True
Bill_1.jpg,gpt,gst_details,,,True
Bill_1.jpg,claude,vendor,,SRINIVASA BOOK STORE,False
Bill_1.jpg,claude,invoice_number,,4188,False
Bill_1.jpg,claude,date,,14-08-2022,False
Bill_1.jpg,claude,amount,,19000,False
Bill_1.jpg,claude,currency,,INR,False
Bill_1.jpg,claude,gst_details,,,True
Bill_10.jpeg,gemini,vendor,KCM Appliances Pvt.. Ltd techzone,KCM Appliances Pvt. Ltd. (Techzone),True
Bill_10.jpeg,gemini,invoice_number,PVR 026,PVR 026,True
Bill_10.jpeg,gemini,date,27-05-2023,27-05-2026,False
Bill_10.jpeg,gemini,amount,360,360,True
Bill_10.jpeg,gemini,currency,INR,INR,True
Bill_10.jpeg,gemini,gst_details,GSTIN/UIN: 32AAECK1982G1ZO; Taxable Value: 360; Tax amount: GST null; Total Amount after Tax: 360; CIN: U51100KL210PTC027225,GSTIN:32AAECK1982G1ZO,False
Bill_10.jpeg,groq_qwen,vendor,KCM Appliances Pvt.. Ltd techzone,KCM Appliances Pvt. Ltd. (Techzone),True
Bill_10.jpeg,groq_qwen,invoice_number,PVR 026,PVR 026,True
Bill_10.jpeg,groq_qwen,date,07-05-2026,27-05-2026,False
Bill_10.jpeg,groq_qwen,amount,360,360,True
Bill_10.jpeg,groq_qwen,currency,INR,INR,True
Bill_10.jpeg,groq_qwen,gst_details,GSTIN/UIN: 32AAECK1982G1ZO,GSTIN:32AAECK1982G1ZO,True
Bill_10.jpeg,gpt,vendor,KCM Appliances Pvt. Ltd,KCM Appliances Pvt. Ltd. (Techzone),True
Bill_10.jpeg,gpt,invoice_number,PVR 026,PVR 026,True
Bill_10.jpeg,gpt,date,27-06-2020,27-05-2026,False
Bill_10.jpeg,gpt,amount,360,360,True
Bill_10.jpeg,gpt,currency,INR,INR,True
Bill_10.jpeg,gpt,gst_details,,GSTIN:32AAECK1982G1ZO,False
