bill_filename,field,ground_truth,claude_extracted,claude_correct,gemini_extracted,gemini_correct,gpt_extracted,gpt_correct,groq_qwen_extracted,groq_qwen_correct
Bill_1.jpg,vendor,SRINIVASA BOOK STORE,,False,SRINIVASA BOOK STORE,True,SRINIVASA BOOK STORE,True,SRINIVASA BOOK STORE,True
Bill_1.jpg,invoice_number,4188,,False,4188,True,4188,True,4188,True
Bill_1.jpg,date,14-08-2022,,False,11-08-2022,False,14-08-2022,True,14-08-2022,True
Bill_1.jpg,amount,19000,,False,19000,True,19600,False,19000,True
Bill_1.jpg,currency,INR,,False,INR,True,INR,True,INR,True
Bill_1.jpg,gst_details,,,True,,True,,True,,True
Bill_10.jpeg,vendor,KCM Appliances Pvt. Ltd. (Techzone),KCM Appliances Pvt. Ltd,True,KCM Appliances Pvt.. Ltd techzone,True,KCM Appliances Pvt. Ltd,True,KCM Appliances Pvt.. Ltd techzone,True
Bill_10.jpeg,invoice_number,PVR 026,PVR 026,True,PVR 026,True,PVR 026,True,PVR 026,True
Bill_10.jpeg,date,27-05-2026,01-05-26,False,27-05-2023,False,27-06-2020,False,07-05-2026,False
Bill_10.jpeg,amount,360,360,True,360,True,360,True,360,True
Bill_10.jpeg,currency,INR,INR,True,INR,True,INR,True,INR,True
Bill_10.jpeg,gst_details,GSTIN:32AAECK1982G1ZO,GSTIN/UIN: 32AAECK1982G1ZO,True,GSTIN/UIN: 32AAECK1982G1ZO; Taxable Value: 360; Tax amount: GST null; Total Amount after Tax: 360; CIN: U51100KL210PTC027225,False,,False,GSTIN/UIN: 32AAECK1982G1ZO,True
Bill_2.jpg,vendor,SAMSUDDIN SIDDIQUI,,False,SAMSUDDIN SIDDIQUI,True,SAMSUDDIN SIDDIQUI,True,SAMSUDDIN SIDDIQUI,True
Bill_2.jpg,invoice_number,287,,False,287,True,287,True,287,True
Bill_2.jpg,date,28-10-2024,,False,28-10-2024,True,28-10-2020,False,28-10-2024,True
Bill_2.jpg,amount,7226,,False,7226,True,7226,True,7226,True
Bill_2.jpg,currency,INR,,False,INR,True,INR,True,INR,True
Bill_2.jpg,gst_details,,,True,,True,,True,PAN No. DODPS7841F,False
Bill_3.jpg,vendor,VISHAL PUNJABI VAISHNO BHOJANALAYA,VISHAL PUNJABI VAISHNO BHOJANALYA,True,VISHAL PUNJABI VAISHNO BHOJANALYA,True,VISHAL PUNJABI VAISHNO BHOJANALYA,True,VISHAL PUNJABI VAISHNO BHOJANALYA,True
Bill_3.jpg,invoice_number,1687,1687,True,1687,True,1687,True,1687,True
Bill_3.jpg,date,29-08-2007,29-01-09,False,22-05-2007,False,29-05-1999,False,29-05-2007,False
Bill_3.jpg,amount,146,146,True,146,True,146,True,146,True
Bill_3.jpg,currency,INR,INR,True,INR,True,INR,True,INR,True
Bill_3.jpg,gst_details,,,True,,True,,True,,True
Bill_4.jpg,vendor,BHARAT ASSOCIATES,,False,BHARAT ASSOCIATES,True,BHARAT ASSOCIATES,True,BHARAT ASSOCIATES,True
Bill_4.jpg,invoice_number,004,,False,004,True,004,True,004,True
Bill_4.jpg,date,15-11-2024,,False,15-01-2024,False,15-10-2023,False,15-11-2024,True
Bill_4.jpg,amount,32345,,False,32345,True,32345,True,32345.0,True
Bill_4.jpg,currency,INR,,False,INR,True,INR,True,INR,True
Bill_4.jpg,gst_details,GSTIN:09GBVPS8212J1ZP,,False,"GSTIN: 09GBVPS8212J1ZP, CGST: 9% (625), SGST: 9% (625), HSN CODE: 9982",True,"CGST 9% 625, SGST 9% 625",False,"09GBVPS8212J1ZP, CGST 9% 625.00, SGST 9% 625.00",False
Bill_5.jpg,vendor,Vanakkam Thala Indian Restaurant,Vanakkam Thara Indian Restaurant,True,Vanakkam India Indian Restaurant,True,Vanakkam India,False,Vanakkam Thala Indian Restaurant,True
Bill_5.jpg,invoice_number,01298,01298,True,01298,True,01298,True,01298,True
Bill_5.jpg,date,,,True,,True,,True,,True
Bill_5.jpg,amount,16.6,166.6,False,16.0,False,16,False,16.6,True
Bill_5.jpg,currency,INR,INR,True,INR,True,INR,True,INR,True
Bill_5.jpg,gst_details,,,True,,True,,True,,True
Bill_6.jpeg,vendor,M.P. SHIJO NEWS PAPER AGENT,M.P. SHIJO NEWS PAPER AGENT,True,M.P. SHIJO NEWS PAPER AGENT,True,M.P. SHIJO,True,M.P. SHIJO NEWS PAPER AGENT,True
Bill_6.jpeg,invoice_number,,,True,,True,,True,,True
Bill_6.jpeg,date,Mar-25,March 2025,False,March 2022,False,01-03-2022,False,March 2022,False
Bill_6.jpeg,amount,1200,1200,True,1200,True,120,False,1200,True
Bill_6.jpeg,currency,INR,INR,True,INR,True,INR,True,INR,True
Bill_6.jpeg,gst_details,,,True,,True,,True,,True
Bill_7.jpeg,vendor,DHANWANTHARI VAIDYASALA,DHANWANTHARI VAIDYASALA,True,DHANWANTHARI VAIDYASALA,True,DHANWANTHARI VAIDYASALA,True,DHANWANTHARI VAIDYASALA,True
Bill_7.jpeg,invoice_number,25147,25147,True,25147,True,25147,True,25147,True
Bill_7.jpeg,date,18-06-2025,,False,18-06-2023,False,18-06-2026,False,18-03-2025,False
Bill_7.jpeg,amount,1397,,False,1397,True,1397,True,1394,False
Bill_7.jpeg,currency,INR,INR,True,INR,True,INR,True,INR,True
Bill_7.jpeg,gst_details,GSTIN:32AADFD6183E1ZR,GSTIN No. 32AADFD6183E1Z9,True,GSTIN No. 32AADFD6183E1ZR,True,GSTIN No. 32AADFD6183E1ZR,True,GSTIN No. 32AADFD6183E1ZP,True
Bill_8.jpeg,vendor,Minnal CYCLES & KIDS WHEELS,Samrat Cycles & Kids Wheels,False,MINNALE SPORTLICH CYCLES & KIDS WHEELS,True,Timro Cycles & Kids Wheels,False,CYCLES & KIDS WHEELS,True
Bill_8.jpeg,invoice_number,1268,1200,False,1268,True,12680,False,1268,True
Bill_8.jpeg,date,04-03-2026,04-03-2024,False,04-03-2024,False,04-03-2016,False,04-03-2021,False
Bill_8.jpeg,amount,6700,6700,True,6700,True,6700,True,6700,True
Bill_8.jpeg,currency,INR,INR,True,INR,True,INR,True,INR,True
Bill_8.jpeg,gst_details,GSTIN:32AKWPN2281N1ZI,GSTIN: 32AKWPN2281N1Z1,True,GSTIN: 32AKWPN2281N1ZI,True,GSTIN: 32AKWP2281N1Z1,True,32AKWPN2281N1ZI,True
Bill_9.jpeg,vendor,DHANWANTHARI VAIDYASALA,DHANWANTHARI VAIDYASALA,True,DHANWANTHARI VAIDYASALA,True,DHANWANTHARI VAIDYASALA,True,DHANWANTHARI VAIDYASALA,True
Bill_9.jpeg,invoice_number,21101,21101,True,21101,True,21101,True,21101,True
Bill_9.jpeg,date,12-01-2026,12-01-2025,False,12-01-2026,True,12-01-2026,True,12/01/26,True
Bill_9.jpeg,amount,1305,,False,1305,True,1205,False,1205,False
Bill_9.jpeg,currency,INR,INR,True,INR,True,INR,True,INR,True
Bill_9.jpeg,gst_details,GSTIN:32AADFD6183E1ZR,GSTIN No. 32AADFD6183E1ZR,True,GSTIN No. 32AADFD6183E1ZR,True,GSTIN No. 32AADFD6183E1ZR,True,"GSTIN No. 32AADFD6183E1ZR, Less 10%",True
